horizon,mode,step,mse_mean,mse_std,n_seeds
24,direct,1,0.55319,0.11466,4
24,direct,2,0.77326,0.06639,4
24,direct,3,0.94286,0.03932,4
24,direct,4,1.08475,0.05307,4
24,direct,5,1.19207,0.09411,4
24,direct,6,1.31622,0.09613,4
24,direct,7,1.44195,0.11825,4
24,direct,8,1.5706,0.17971,4
24,direct,9,1.56686,0.20698,4
24,direct,10,1.5983,0.20382,4
24,direct,11,1.54611,0.19352,4
24,direct,12,1.50996,0.18025,4
24,direct,13,1.53276,0.15399,4
24,direct,14,1.53729,0.1803,4
24,direct,15,1.54231,0.19059,4
24,direct,16,1.57048,0.14412,4
24,direct,17,1.67135,0.13611,4
24,direct,18,1.69963,0.13362,4
24,direct,19,1.76363,0.09415,4
24,direct,20,1.89488,0.10077,4
24,direct,21,1.98131,0.14295,4
24,direct,22,2.07772,0.14741,4
24,direct,23,2.20186,0.13963,4
24,direct,24,2.33174,0.0857,4
24,autoregressive,1,0.55319,0.11466,4
24,autoregressive,2,0.77326,0.06639,4
24,autoregressive,3,0.94286,0.03932,4
24,autoregressive,4,1.08475,0.05307,4
24,autoregressive,5,1.19207,0.09411,4
24,autoregressive,6,1.31622,0.09613,4
24,autoregressive,7,1.44195,0.11825,4
24,autoregressive,8,1.5706,0.17971,4
24,autoregressive,9,1.56686,0.20698,4
24,autoregressive,10,1.5983,0.20382,4
24,autoregressive,11,1.54611,0.19352,4
24,autoregressive,12,1.50996,0.18025,4
24,autoregressive,13,1.53276,0.15399,4
24,autoregressive,14,1.53729,0.1803,4
24,autoregressive,15,1.54231,0.19059,4
24,autoregressive,16,1.57048,0.14412,4
24,autoregressive,17,1.67135,0.13611,4
24,autoregressive,18,1.69963,0.13362,4
24,autoregressive,19,1.76363,0.09415,4
24,autoregressive,20,1.89488,0.10077,4
24,autoregressive,21,1.98131,0.14295,4
24,autoregressive,22,2.07772,0.14741,4
24,autoregressive,23,2.20186,0.13963,4
24,autoregressive,24,2.33174,0.0857,4
36,direct,1,0.55337,0.06296,4
36,direct,2,0.82252,0.04286,4
36,direct,3,1.01746,0.02695,4
36,direct,4,1.16412,0.01772,4
36,direct,5,1.27314,0.0419,4
36,direct,6,1.35615,0.08406,4
36,direct,7,1.49453,0.05971,4
36,direct,8,1.59357,0.04154,4
36,direct,9,1.74615,0.06658,4
36,direct,10,1.8135,0.10938,4
36,direct,11,1.87578,0.10186,4
36,direct,12,1.85828,0.11027,4
36,direct,13,1.81628,0.10284,4
36,direct,14,1.82746,0.11914,4
36,direct,15,1.83283,0.11271,4
36,direct,16,1.76967,0.15952,4
36,direct,17,1.75697,0.16087,4
36,direct,18,1.72925,0.15326,4
36,direct,19,1.7027,0.19228,4
36,direct,20,1.67262,0.19276,4
36,direct,21,1.65788,0.18851,4
36,direct,22,1.74128,0.18587,4
36,direct,23,1.71002,0.17566,4
36,direct,24,1.7031,0.19115,4
36,direct,25,1.70413,0.15919,4
36,direct,26,1.69748,0.14158,4
36,direct,27,1.69932,0.15404,4
36,direct,28,1.6439,0.14181,4
36,direct,29,1.58326,0.14177,4
36,direct,30,1.52997,0.16761,4
36,direct,31,1.49579,0.13395,4
36,direct,32,1.52158,0.1423,4
36,direct,33,1.54831,0.13443,4
36,direct,34,1.61157,0.12304,4
36,direct,35,1.71854,0.09711,4
36,direct,36,1.79601,0.08106,4
36,autoregressive,1,0.54687,0.09244,4
36,autoregressive,2,0.80786,0.08951,4
36,autoregressive,3,0.96767,0.10283,4
36,autoregressive,4,1.11626,0.17649,4
36,autoregressive,5,1.21422,0.18601,4
36,autoregressive,6,1.41659,0.10406,4
36,autoregressive,7,1.51029,0.14863,4
36,autoregressive,8,1.56997,0.11652,4
36,autoregressive,9,1.79849,0.1161,4
36,autoregressive,10,1.79396,0.09865,4
36,autoregressive,11,1.84201,0.08754,4
36,autoregressive,12,1.80035,0.03755,4
36,autoregressive,13,1.72089,0.28996,4
36,autoregressive,14,1.7175,0.14718,4
36,autoregressive,15,1.74532,0.30077,4
36,autoregressive,16,1.73974,0.18366,4
36,autoregressive,17,1.81557,0.27034,4
36,autoregressive,18,1.92484,0.28115,4
36,autoregressive,19,1.84401,0.23513,4
36,autoregressive,20,1.88044,0.19705,4
36,autoregressive,21,1.8435,0.22472,4
36,autoregressive,22,1.86927,0.19907,4
36,autoregressive,23,1.77333,0.10137,4
36,autoregressive,24,1.72312,0.15873,4
36,autoregressive,25,1.68338,0.0458,4
36,autoregressive,26,1.77455,0.07373,4
36,autoregressive,27,1.71095,0.07215,4
36,autoregressive,28,1.69672,0.13893,4
36,autoregressive,29,1.56893,0.17405,4
36,autoregressive,30,1.58125,0.10182,4
36,autoregressive,31,1.51895,0.13099,4
36,autoregressive,32,1.55136,0.09148,4
36,autoregressive,33,1.69896,0.09197,4
36,autoregressive,34,1.72296,0.0809,4
36,autoregressive,35,1.80248,0.04875,4
36,autoregressive,36,1.8451,0.01259,4
48,direct,1,0.5995,0.1315,4
48,direct,2,0.86638,0.14838,4
48,direct,3,1.08478,0.15738,4
48,direct,4,1.21415,0.15355,4
48,direct,5,1.32138,0.14883,4
48,direct,6,1.46484,0.15478,4
48,direct,7,1.55407,0.12354,4
48,direct,8,1.62219,0.15287,4
48,direct,9,1.65251,0.19048,4
48,direct,10,1.67201,0.19823,4
48,direct,11,1.6693,0.16978,4
48,direct,12,1.6678,0.16892,4
48,direct,13,1.72734,0.17796,4
48,direct,14,1.69722,0.15194,4
48,direct,15,1.6769,0.14533,4
48,direct,16,1.64603,0.09907,4
48,direct,17,1.63379,0.04438,4
48,direct,18,1.61963,0.0292,4
48,direct,19,1.58943,0.0193,4
48,direct,20,1.56542,0.01386,4
48,direct,21,1.59085,0.01444,4
48,direct,22,1.61636,0.04383,4
48,direct,23,1.62455,0.05218,4
48,direct,24,1.66398,0.02249,4
48,direct,25,1.70103,0.01861,4
48,direct,26,1.64471,0.0428,4
48,direct,27,1.60294,0.02722,4
48,direct,28,1.54833,0.03311,4
48,direct,29,1.47571,0.05279,4
48,direct,30,1.3691,0.02326,4
48,direct,31,1.32176,0.05582,4
48,direct,32,1.30037,0.05648,4
48,direct,33,1.36513,0.04864,4
48,direct,34,1.41275,0.05813,4
48,direct,35,1.50357,0.07458,4
48,direct,36,1.5928,0.06479,4
48,direct,37,1.68474,0.06033,4
48,direct,38,1.76826,0.08487,4
48,direct,39,1.87902,0.10068,4
48,direct,40,1.9972,0.07631,4
48,direct,41,2.1578,0.08149,4
48,direct,42,2.29292,0.0703,4
48,direct,43,2.41524,0.04658,4
48,direct,44,2.51351,0.02214,4
48,direct,45,2.62223,0.01293,4
48,direct,46,2.70449,0.04237,4
48,direct,47,2.76038,0.05694,4
48,direct,48,2.8052,0.05475,4
48,autoregressive,1,0.74178,0.06572,4
48,autoregressive,2,0.95585,0.09147,4
48,autoregressive,3,1.16088,0.17262,4
48,autoregressive,4,1.32414,0.16711,4
48,autoregressive,5,1.44092,0.27863,4
48,autoregressive,6,1.52109,0.17341,4
48,autoregressive,7,1.66151,0.24647,4
48,autoregressive,8,1.64657,0.14512,4
48,autoregressive,9,1.68781,0.20304,4
48,autoregressive,10,1.57817,0.29327,4
48,autoregressive,11,1.56823,0.24372,4
48,autoregressive,12,1.46835,0.20601,4
48,autoregressive,13,1.47071,0.16828,4
48,autoregressive,14,1.48773,0.10984,4
48,autoregressive,15,1.48447,0.12664,4
48,autoregressive,16,1.47224,0.03946,4
48,autoregressive,17,1.56533,0.07738,4
48,autoregressive,18,1.57682,0.03577,4
48,autoregressive,19,1.52282,0.10009,4
48,autoregressive,20,1.48619,0.0615,4
48,autoregressive,21,1.47663,0.07419,4
48,autoregressive,22,1.47452,0.05646,4
48,autoregressive,23,1.44815,0.03443,4
48,autoregressive,24,1.44883,0.04724,4
48,autoregressive,25,1.71239,0.10617,4
48,autoregressive,26,1.69342,0.0833,4
48,autoregressive,27,1.70281,0.16093,4
48,autoregressive,28,1.66503,0.16965,4
48,autoregressive,29,1.59103,0.22626,4
48,autoregressive,30,1.50868,0.12546,4
48,autoregressive,31,1.50389,0.1688,4
48,autoregressive,32,1.49757,0.09382,4
48,autoregressive,33,1.5473,0.1687,4
48,autoregressive,34,1.50728,0.21775,4
48,autoregressive,35,1.59719,0.16638,4
48,autoregressive,36,1.6218,0.10007,4
48,autoregressive,37,1.72906,0.08077,4
48,autoregressive,38,1.82976,0.04966,4
48,autoregressive,39,1.97506,0.02735,4
48,autoregressive,40,2.13886,0.04717,4
48,autoregressive,41,2.30204,0.06233,4
48,autoregressive,42,2.52711,0.08639,4
48,autoregressive,43,2.77803,0.17001,4
48,autoregressive,44,2.98915,0.19699,4
48,autoregressive,45,3.20857,0.23149,4
48,autoregressive,46,3.38952,0.29963,4
48,autoregressive,47,3.54128,0.32188,4
48,autoregressive,48,3.74848,0.31083,4
60,direct,1,0.52157,0.05158,4
60,direct,2,0.74764,0.03055,4
60,direct,3,0.9449,0.01962,4
60,direct,4,1.16623,0.05199,4
60,direct,5,1.39048,0.05356,4
60,direct,6,1.53602,0.09194,4
60,direct,7,1.66211,0.11243,4
60,direct,8,1.71327,0.07883,4
60,direct,9,1.79176,0.03127,4
60,direct,10,1.75973,0.01982,4
60,direct,11,1.80796,0.05077,4
60,direct,12,1.88708,0.07996,4
60,direct,13,1.90959,0.06759,4
60,direct,14,1.89716,0.1277,4
60,direct,15,1.90246,0.07233,4
60,direct,16,1.91739,0.12713,4
60,direct,17,1.99729,0.15094,4
60,direct,18,2.0576,0.16071,4
60,direct,19,2.05926,0.11492,4
60,direct,20,2.0846,0.11792,4
60,direct,21,2.05948,0.10632,4
60,direct,22,2.0809,0.17329,4
60,direct,23,2.06509,0.21625,4
60,direct,24,2.00749,0.21155,4
60,direct,25,2.0072,0.26094,4
60,direct,26,2.02765,0.28196,4
60,direct,27,2.03909,0.30405,4
60,direct,28,1.9331,0.26214,4
60,direct,29,1.92021,0.35417,4
60,direct,30,1.8768,0.48723,4
60,direct,31,1.76369,0.44507,4
60,direct,32,1.76167,0.43212,4
60,direct,33,1.78964,0.41844,4
60,direct,34,1.73862,0.31226,4
60,direct,35,1.67212,0.25403,4
60,direct,36,1.68082,0.24826,4
60,direct,37,1.78266,0.26635,4
60,direct,38,1.73676,0.21142,4
60,direct,39,1.77662,0.29026,4
60,direct,40,1.76524,0.23306,4
60,direct,41,1.80236,0.17677,4
60,direct,42,1.81549,0.17114,4
60,direct,43,1.82078,0.12805,4
60,direct,44,1.8306,0.17616,4
60,direct,45,1.88903,0.17814,4
60,direct,46,1.93743,0.19375,4
60,direct,47,1.94185,0.26041,4
60,direct,48,1.94681,0.23453,4
60,direct,49,1.93702,0.2413,4
60,direct,50,1.9593,0.29357,4
60,direct,51,2.04027,0.2922,4
60,direct,52,2.12857,0.25073,4
60,direct,53,2.26323,0.25694,4
60,direct,54,2.29984,0.30008,4
60,direct,55,2.39839,0.28268,4
60,direct,56,2.48626,0.23822,4
60,direct,57,2.61539,0.21892,4
60,direct,58,2.77168,0.23512,4
60,direct,59,2.87273,0.22041,4
60,direct,60,2.94651,0.15058,4
60,autoregressive,1,0.52974,0.08652,4
60,autoregressive,2,0.69552,0.05948,4
60,autoregressive,3,0.80496,0.04861,4
60,autoregressive,4,0.89662,0.04702,4
60,autoregressive,5,1.0118,0.08343,4
60,autoregressive,6,1.16416,0.11803,4
60,autoregressive,7,1.22357,0.15981,4
60,autoregressive,8,1.30996,0.12038,4
60,autoregressive,9,1.42018,0.09782,4
60,autoregressive,10,1.46838,0.21043,4
60,autoregressive,11,1.56573,0.077,4
60,autoregressive,12,1.65756,0.0346,4
60,autoregressive,13,1.86513,0.04276,4
60,autoregressive,14,1.95566,0.09632,4
60,autoregressive,15,1.94872,0.15637,4
60,autoregressive,16,1.97865,0.08229,4
60,autoregressive,17,2.03818,0.08361,4
60,autoregressive,18,2.11566,0.13461,4
60,autoregressive,19,2.10424,0.14726,4
60,autoregressive,20,2.11146,0.1018,4
60,autoregressive,21,1.99803,0.03682,4
60,autoregressive,22,1.87262,0.09051,4
60,autoregressive,23,1.7904,0.16782,4
60,autoregressive,24,1.63516,0.14841,4
60,autoregressive,25,1.7898,0.15717,4
60,autoregressive,26,1.77328,0.17802,4
60,autoregressive,27,1.68639,0.11741,4
60,autoregressive,28,1.57447,0.06087,4
60,autoregressive,29,1.41136,0.078,4
60,autoregressive,30,1.32971,0.09015,4
60,autoregressive,31,1.23269,0.12343,4
60,autoregressive,32,1.28205,0.08815,4
60,autoregressive,33,1.34814,0.05921,4
60,autoregressive,34,1.37438,0.18927,4
60,autoregressive,35,1.41101,0.05961,4
60,autoregressive,36,1.43372,0.07725,4
60,autoregressive,37,1.57752,0.08476,4
60,autoregressive,38,1.62107,0.14043,4
60,autoregressive,39,1.57332,0.18241,4
60,autoregressive,40,1.57104,0.09261,4
60,autoregressive,41,1.5996,0.10803,4
60,autoregressive,42,1.65833,0.16071,4
60,autoregressive,43,1.67029,0.15839,4
60,autoregressive,44,1.69466,0.14808,4
60,autoregressive,45,1.62995,0.08783,4
60,autoregressive,46,1.57709,0.19195,4
60,autoregressive,47,1.54117,0.20821,4
60,autoregressive,48,1.49508,0.12774,4
60,autoregressive,49,1.69928,0.1537,4
60,autoregressive,50,1.72678,0.11991,4
60,autoregressive,51,1.78037,0.11584,4
60,autoregressive,52,1.891,0.09691,4
60,autoregressive,53,2.01959,0.11633,4
60,autoregressive,54,2.18598,0.12186,4
60,autoregressive,55,2.36787,0.12734,4
60,autoregressive,56,2.59805,0.15008,4
60,autoregressive,57,2.78939,0.1743,4
60,autoregressive,58,3.02623,0.22045,4
60,autoregressive,59,3.18,0.26143,4
60,autoregressive,60,3.23764,0.19117,4
